Submission ID,Respondent ID,Submitted at,idEmpresa,idUsuario,Qual é a sua função na empresa?,Qual o volume de pedidos mensal da sua empresa?,Como a sua empresa realiza vendas atualmente??,Importância - Minimizar o tempo necessário para registrar uma despesa fixa,Satistação - Minimizar o tempo necessário para registrar uma despesa fixa,Importância - Minimizar a incerteza sobre os valores a pagar nos próximos períodos,Satisfação - Minimizar a incerteza sobre os valores a pagar nos próximos períodos,Importância - Minimizar dúvidas sobre a origem e categoria de cada pagamento,Satisfação - Minimizar dúvidas sobre a origem e categoria de cada pagamento,Importância - Minimizar tarefas manuais ao registrar contas a pagar,Satisfação - Minimizar tarefas manuais ao registrar contas a pagar,Importância - Minimizar erros nas previsões de recebimento futuro,Satisfação - Minimizar erros nas previsões de recebimento futuro,Importância - Minimizar o risco de não registrar vendas com recebimento futuro,Satisfação - Minimizar o risco de não registrar vendas com recebimento futuro,Importância - Minimizar dificuldade para identificar recebíveis por canal ou cliente,Satisfação - Minimizar dificuldade para identificar recebíveis por canal ou cliente,Importância - Evitar estornos inesperados ou inadimplência não prevista,Satisfação - Evitar estornos inesperados ou inadimplência não prevista,Importância - Minimizar o tempo necessário para consolidar vendas de múltiplos canais,Satisfação - Minimizar o tempo necessário para consolidar vendas de múltiplos canais,Importância - Minimizar tarefas manuais ao registrar contas a receber,Satisfação - Minimizar tarefas manuais ao registrar contas a receber,Importância - Minimizar o número de contas não visualizadas antes do vencimento,Satisfação - Minimizar o número de contas não visualizadas antes do vencimento,Importância - Minimizar incertezas sobre o que pagar ou receber,Satisfação - Minimizar incertezas sobre o que pagar ou receber,Importância - Evitar variações negativas no fluxo de caixa por contas recebidas ou pagas,Satisfação - Evitar variações negativas no fluxo de caixa por contas recebidas ou pagas,Importância - Minimizar inadimplência nas contas a receber vencidas,Satisfação - Minimizar inadimplência nas contas a receber vencidas,Importância - Evitar multas causadas por atrasos em pagamentos previstos,Satisfação - Evitar multas causadas por atrasos em pagamentos previstos,Importância - Minimizar o número de pagamentos realizados após o vencimento,Satisfação - Minimizar o número de pagamentos realizados após o vencimento,Importância - Evitar pagamentos registrados mais de uma vez,Satisfação - Evitar pagamentos registrados mais de uma vez,Importância - Minimizar o tempo gasto por pagamento realizado,Satisfação - Minimizar o tempo gasto por pagamento realizado,Importância - Minimizar o esforço para localizar e associar comprovantes a pagamentos,Satisfação - Minimizar o esforço para localizar e associar comprovantes a pagamentos,Importância - Minimizar tarefas manuais ao lidar com pagamentos repetidos,Satisfação - Minimizar tarefas manuais ao lidar com pagamentos repetidos,Importância - Minimizar tempo gasto para dar baixa em recebimento,Satisfação - Minimizar tempo gasto para dar baixa em recebimento,Importância - Minimizar falhas na identificação de origem dos recebimentos,Satisfação - Minimizar falhas na identificação de origem dos recebimentos,Importância - Evitar baixas repetidas ou não realizadas,Satisfação - Evitar baixas repetidas ou não realizadas,Importância - Minimizar esforço para identificar e classificar o recebimento corretamente,Satisfação - Minimizar esforço para identificar e classificar o recebimento corretamente,Importância - Minimizar divergências entre saldo registrado e saldo bancário real,Satisfação - Minimizar divergências entre saldo registrado e saldo bancário real,Importância - Minimizar inconsistências entre extrato bancário e lançamentos internos,Satisfação - Minimizar inconsistências entre extrato bancário e lançamentos internos,Importância - Minimizar omissões ou erros ao lançar transações manualmente,Satisfação - Minimizar omissões ou erros ao lançar transações manualmente,Importância - Minimizar erros nos relatórios financeiros gerados,Satisfação - Minimizar erros nos relatórios financeiros gerados,Importância - Minimizar o tempo necessário para encerrar o período contábil,Satisfação - Minimizar o tempo necessário para encerrar o período contábil,Importância - Minimizar o esforço para gerar relatórios confiáveis,Satisfação - Minimizar o esforço para gerar relatórios confiáveis,Importância - Minimizar impactos de estornos e ajustes não mapeados,Satisfação - Minimizar impactos de estornos e ajustes não mapeados,Importância - Evitar precificações com margem negativa,Satisfação - Evitar precificações com margem negativa,Importância - Minimizar perda de margem ao tornar o preço mais competitivo,Satisfação - Minimizar perda de margem ao tornar o preço mais competitivo,Importância - Minimizar tarefas manuais ao atualizar preços em múltiplos canais,Satisfação - Minimizar tarefas manuais ao atualizar preços em múltiplos canais,Importância - Minimizar incertezas sobre o impacto de taxas e custos variáveis nos preços,Satisfação - Minimizar incertezas sobre o impacto de taxas e custos variáveis nos preços,Importância - Minimizar dúvidas ao definir preços de venda,Satisfação - Minimizar dúvidas ao definir preços de venda,Importância - Evitar cobranças indevidas de taxas em transações financeiras,Satisfação - Evitar cobranças indevidas de taxas em transações financeiras,Importância - Minimizar incertezas sobre o custo fixo mensal e ponto de equilíbrio,Satisfação - Minimizar incertezas sobre o custo fixo mensal e ponto de equilíbrio,Importância - Evitar falhas de liquidez que comprometem pagamentos planejados,Satisfação - Evitar falhas de liquidez que comprometem pagamentos planejados,Importância - Minimizar erros em decisões estratégicas tomadas com base em dados incompletos,Satisfação - Minimizar erros em decisões estratégicas tomadas com base em dados incompletos,Importância - Evitar investimentos em canais com baixa rentabilidade,Satisfação - Evitar investimentos em canais com baixa rentabilidade,Importância - Evitar falta de capital de giro em períodos críticos,Satisfação - Evitar falta de capital de giro em períodos críticos,Importância - Minimizar incertezas sobre capital parado e margem real,Satisfação - Minimizar incertezas sobre capital parado e margem real,Importância - Evitar decisões estratégicas descoladas de sazonalidades históricas,Satisfação - Evitar decisões estratégicas descoladas de sazonalidades históricas,Importância - Evitar perda de competitividade que comprometa a lucratividade,Satisfação - Evitar perda de competitividade que comprometa a lucratividade
jea6kqJ,ODD16lR,2026-03-24 19:51:27,928052561,928052563,Responsável Financeiro,Entre 200 e 2.000,Ambos os canais (online e offline),10,9,10,7,10,8,10,10,10,6,10,6,10,1,10,1,10,6,10,10,10,8,10,9,10,3,10,5,10,6,10,7,10,9,10,9,10,8,10,7,10,9,10,7,10,6,10,7,7,7,7,7,6,6,10,4,10,5,10,4,10,4,10,1,10,4,10,4,10,3,10,3,10,4,10,1,10,4,10,3,10,2,10,1,10,2,10,3,10,2
Dq4karZ,rj5y5Qv,2026-03-24 20:02:14,13688057503,13688057505,Proprietário(a) / Sócio(a),Entre 200 e 2.000,"Apenas offline (loja física, vendedores, balcão etc.)",10,8,10,8,10,7,10,7,10,7,10,8,10,8,10,7,10,7,10,7,10,7,10,6,10,7,10,7,10,8,10,8,10,9,10,8,10,6,10,6,10,7,10,7,10,8,10,7,10,8,10,8,10,7,10,8,10,8,10,6,10,8,10,7,10,7,10,7,10,7,10,7,10,8,10,7,10,7,10,8,10,7,10,7,10,7,10,8,10,7
2jEaRlD,RG49gJ4,2026-03-24 20:04:38,14880419830,14782602850,Proprietário(a) / Sócio(a),Até 200 pedidos,Ambos os canais (online e offline),10,9,10,5,10,7,10,5,10,6,10,8,10,5,10,7,10,5,10,7,10,8,10,8,10,9,10,9,10,7,10,7,10,3,10,3,10,1,10,8,10,3,10,3,10,7,10,3,10,7,10,7,10,5,10,2,10,2,10,2,10,5,10,9,10,9,10,5,10,6,10,10,10,6,10,5,10,5,10,3,10,9,8,5,10,5,10,5,10,9
4a4JE7Y,rjLb5OX,2026-03-24 20:07:42,14879789433,14781193758,Proprietário(a) / Sócio(a),Até 200 pedidos,"Apenas offline (loja física, vendedores, balcão etc.)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
QoKejXX,XxYvL8O,2026-03-24 20:10:01,11197641048,11197641049,Proprietário(a) / Sócio(a),Entre 200 e 2.000,Ambos os canais (online e offline),10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,9,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8,10,8
jea6gAx,Pdd9MPb,2026-03-24 20:10:51,14879155053,14779714529,Proprietário(a) / Sócio(a),Entre 2.000  e 20.000,Ambos os canais (online e offline),10,8,10,10,10,10,10,8,10,8,10,9,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,10,10,10,10,10,10,10,10,10,10,8,10,8,10,10,10,10,10,10,10,8,10,10,10,9,10,10,10,7,10,7,10,8,10,7,10,8,10,10,10,8,10,8,10,8,10,9,10,8,10,8,10,8,10,9
Gex9gpe,2EvgXW9,2026-03-24 20:12:38,14890171922,14783862969,Proprietário(a) / Sócio(a),Entre 200 e 2.000,"Apenas offline (loja física, vendedores, balcão etc.)",8,6,10,5,10,3,8,5,8,5,10,6,5,4,10,10,1,1,10,10,10,2,10,3,10,2,10,5,10,2,10,2,10,2,10,7,10,2,10,2,10,3,10,10,10,3,10,3,10,3,10,2,10,2,10,1,10,3,10,1,10,1,10,1,10,1,10,5,10,1,10,1,10,3,10,2,10,3,10,1,10,1,10,5,10,3,10,3,10,1
9Nq9aVp,vGA7RBQ,2026-03-24 20:16:37,6725741799,6725741800,Proprietário(a) / Sócio(a),Até 200 pedidos,Ambos os canais (online e offline),10,6,10,7,10,6,6,5,10,6,4,5,7,7,10,5,10,9,10,7,8,8,10,4,8,7,10,6,10,9,8,8,10,6,7,8,8,8,10,6,9,9,7,6,7,3,10,5,10,3,10,4,10,7,10,8,10,8,10,7,10,6,10,7,10,7,10,4,10,5,10,5,10,7,9,6,9,5,10,7,9,4,8,8,7,7,8,7,9,4
Yj50KY6,ZpBEqz,2026-03-24 20:29:13,5777597999,5777598000,Responsável Financeiro,Entre 2.000  e 20.000,Ambos os canais (online e offline),8,7,10,7,9,7,10,6,10,6,10,6,10,7,10,6,10,5,10,6,8,7,10,6,10,6,10,6,10,7,10,7,10,6,10,7,8,6,10,7,10,7,10,7,10,6,10,6,10,7,10,7,10,7,10,7,10,5,10,7,9,6,10,4,10,4,10,4,10,3,10,4,10,6,10,3,10,5,10,6,10,6,10,5,10,5,8,5,10,5
LDZ7qvz,pbxXW8b,2026-03-24 20:29:43,1837593105,1837593108,Proprietário(a) / Sócio(a),Entre 200 e 2.000,Ambos os canais (online e offline),10,5,10,4,9,4,10,4,10,4,8,5,10,3,10,4,10,2,7,6,10,4,10,4,10,5,10,3,10,4,10,4,10,4,10,4,10,4,10,4,10,3,10,3,10,3,10,3,10,2,10,2,10,3,10,2,10,2,10,2,10,2,10,3,10,3,10,2,10,2,10,2,10,4,10,4,10,4,10,4,10,4,10,4,10,3,10,3,10,4
